"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.04.2024","216,65","227,40","227,90","213,40","30,86K","-7,24%"
"29.04.2024","233,55","234,00","234,00","234,00","0,02K","4,26%"
"26.04.2024","224,00","226,00","226,95","221,35","18,79K","-3,43%"
"25.04.2024","231,95","230,85","231,50","230,85","0,03K","1,53%"
"24.04.2024","228,45","229,25","229,25","226,35","0,07K","1,76%"
"23.04.2024","224,50","226,65","226,65","224,10","0,13K","-1,38%"
"22.04.2024","227,65","231,50","234,50","223,50","24,03K","-1,81%"
"19.04.2024","231,85","233,25","238,90","228,80","26,95K","-3,34%"
"18.04.2024","239,85","252,10","253,70","239,50","5,47K","-3,27%"
"17.04.2024","247,95","237,40","249,30","236,40","8,75K","4,73%"
"16.04.2024","236,75","235,75","239,50","232,85","12,61K","2,25%"
"15.04.2024","231,55","221,65","235,45","219,30","15,67K","3,07%"
"12.04.2024","224,65","220,95","236,20","219,50","31,23K","1,95%"
"11.04.2024","220,35","215,30","221,80","214,10","26,11K","2,66%"
"10.04.2024","214,65","213,85","215,90","211,55","24,66K","0,52%"
"09.04.2024","213,55","209,60","214,75","209,60","40,36K","1,16%"
"08.04.2024","211,10","212,15","216,40","209,45","45,97K","-0,66%"
"05.04.2024","212,50","205,10","214,00","204,20","45,07K","2,78%"
"04.04.2024","206,75","206,30","207,95","202,50","32,10K","1,55%"
"03.04.2024","203,60","196,70","207,15","196,30","40,34K","2,96%"
"02.04.2024","197,75","190,95","198,40","190,75","39,26K","3,10%"
"01.04.2024","191,80","188,00","192,70","187,70","19,15K","1,56%"
"28.03.2024","188,85","191,05","191,20","187,55","21,24K","-0,94%"
"27.03.2024","190,65","188,05","192,50","187,15","32,26K","1,38%"
"26.03.2024","188,05","185,65","189,45","185,30","21,86K","1,29%"
"25.03.2024","185,65","185,15","186,25","183,35","19,00K","0,43%"
"22.03.2024","184,85","186,00","188,20","184,55","21,36K","-0,46%"
"21.03.2024","185,70","183,85","188,40","183,05","23,12K","1,81%"
