"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.08.2024","248,20","255,45","255,50","250,30","0,02K","-1,43%"
"29.08.2024","251,80","258,70","258,70","250,30","0,05K","-3,32%"
"28.08.2024","260,45","259,00","259,05","259,00","0,01K","0,40%"
"27.08.2024","259,40","259,15","263,65","254,65","0,06K","2,27%"
"26.08.2024","253,65","249,40","253,25","248,40","0,01K","0,98%"
"23.08.2024","251,20","246,80","251,35","245,05","0,05K","1,78%"
"22.08.2024","246,80","253,30","253,30","244,50","0,25K","-1,06%"
"21.08.2024","249,45","247,00","253,00","244,00","4,07K","0,00%"
"20.08.2024","249,45","247,90","254,50","245,80","5,94K","1,44%"
"19.08.2024","245,90","245,50","249,80","242,60","5,27K","0,18%"
"16.08.2024","245,45","239,10","245,80","238,55","8,50K","2,31%"
"15.08.2024","239,90","236,80","240,35","234,30","7,42K","1,22%"
"14.08.2024","237,00","232,75","238,95","232,05","10,30K","1,85%"
"13.08.2024","232,70","235,80","237,15","230,10","24,08K","-3,38%"
"12.08.2024","240,85","245,50","249,45","239,25","25,85K","2,91%"
"09.08.2024","234,05","245,30","246,05","232,25","44,48K","-4,59%"
"08.08.2024","245,30","245,25","251,75","243,10","37,13K","-0,41%"
"07.08.2024","246,30","235,35","248,00","235,25","40,13K","4,39%"
"06.08.2024","235,95","229,85","238,85","229,55","31,48K","4,54%"
"05.08.2024","225,70","227,35","227,90","221,00","24,82K","-2,08%"
"02.08.2024","230,50","227,25","231,75","226,45","16,95K","1,43%"
"01.08.2024","227,25","229,20","231,15","225,25","19,19K","-0,85%"
"31.07.2024","229,20","230,50","235,40","227,10","22,04K","-0,69%"
"30.07.2024","230,80","230,85","233,20","228,25","15,92K","0,17%"
"29.07.2024","230,40","230,35","233,60","228,10","16,27K","0,07%"
"26.07.2024","230,25","232,55","233,00","229,80","13,31K","-1,90%"
"25.07.2024","234,70","231,35","235,45","228,55","26,64K","1,54%"
"24.07.2024","231,15","238,00","238,60","230,55","29,80K","-3,32%"
"23.07.2024","239,10","242,50","243,10","238,25","13,52K","-1,63%"
"22.07.2024","243,05","237,70","244,55","236,50","15,36K","2,04%"
"19.07.2024","238,20","241,85","241,85","233,60","20,95K","-2,14%"
"18.07.2024","243,40","243,60","245,40","240,50","14,40K","-1,60%"
"17.07.2024","247,35","245,50","247,00","241,80","17,47K","0,79%"
"16.07.2024","245,40","243,35","245,85","242,20","12,56K","0,51%"
"15.07.2024","244,15","249,30","249,50","248,50","0,00K","-2,52%"
"12.07.2024","250,45","245,75","249,70","241,20","19,84K","1,50%"
"11.07.2024","246,75","247,10","247,10","247,10","0,00K","0,43%"
"10.07.2024","245,70","249,00","249,00","248,10","0,00K","-2,50%"
"09.07.2024","252,00","233,65","252,35","233,15","38,89K","6,69%"
"08.07.2024","236,20","236,70","236,70","236,70","0,00K","2,56%"
"05.07.2024","230,30","228,50","233,05","226,35","17,56K","1,93%"
"03.07.2024","225,95","228,05","228,05","228,05","0,00K","-1,37%"
"02.07.2024","229,10","231,15","233,05","230,50","0,01K","1,06%"
"01.07.2024","226,70","226,25","226,25","224,35","0,11K","-0,98%"
"28.06.2024","228,95","224,50","229,10","224,50","0,01K","0,31%"
"27.06.2024","228,25","229,35","229,35","229,35","0,00K","0,84%"
"26.06.2024","226,35","232,80","232,90","226,10","0,02K","-2,10%"
"25.06.2024","231,20","237,15","237,20","231,00","0,02K","-2,86%"
"24.06.2024","238,00","231,60","237,40","231,60","0,06K","5,05%"
"21.06.2024","226,55","229,40","232,65","226,55","0,05K","-1,61%"
"20.06.2024","230,25","228,80","236,90","228,00","0,39K","1,75%"
"18.06.2024","226,30","227,50","228,65","222,50","9,74K","-0,37%"
"17.06.2024","227,15","225,70","227,55","223,05","9,36K","1,34%"
"14.06.2024","224,15","225,50","227,35","222,95","10,93K","-0,84%"
"13.06.2024","226,05","224,35","229,30","224,10","13,55K","0,76%"
"12.06.2024","224,35","219,35","227,35","215,00","33,75K","1,72%"
"11.06.2024","220,55","221,60","224,70","218,85","30,59K","-0,38%"
"10.06.2024","221,40","225,00","226,45","219,05","33,33K","-1,51%"
"07.06.2024","224,80","233,45","234,10","223,60","49,02K","-4,01%"
"06.06.2024","234,20","232,00","239,80","231,80","30,87K","0,97%"
"05.06.2024","231,95","230,25","233,25","226,35","29,24K","-0,83%"
"04.06.2024","233,90","226,10","234,20","223,55","24,66K","3,24%"
"03.06.2024","226,55","221,15","229,30","220,90","18,58K","1,89%"
"31.05.2024","222,35","234,10","237,75","220,55","29,76K","-4,57%"
"30.05.2024","233,00","228,25","235,45","225,50","20,87K","1,55%"
